Neuron,Type,Location,Description,Neurotransmitter/Neuropeptide,Innexin Expression,Receptor expression,Function
ASKL,Sensory neuron,Lateral ganglia of head,"Amphid neurons, single ciliated endings, project into ring via commissure from ventral ganglion, make diverse synaptic connections in ring neuropil. Also take up FITC.","Glutamate. Expresses VGluT, EAT-4 (Lee et al., 1999). Express neuropeptide-like proteins, NLP-8, NLP-10, NLP-14 (Nathoo et al., 2001).",,"- OSM-9; TRPV (transient receptor potential channel, vanilloid subfamily; mammalian capsaicin receptor-like channel)-cation selective channel (Colbert et al., 1997).- Express G protein-coupled serpentine receptors, SRA-7, SRA-9, SRG-2, SRG-8 (Troemel et al., 1995). Express transmembrane guanylyl cyclase DAF-11 (Birnby et al., 2000).","- Involved in chemotaxis to lysine (Bargmann and Horvitz, 1991). - ASH, ADL, ASK and ASE sensory neurons are responsible for the detection of certain chemical repellents. ASH plays a major role in this avoidance, whereas ADL, ASK and ASE play minor roles that are only evident when ASH is missing (Hiliard et al., 2002; Sambongi et al., 1999; Bargmann et al, 1990.) Mediate avoidance behavior from protons, detergents, alkaloids such as quinine -ASH is the main sensory neuron responsible for quinine detection while ASK plays a minor role (Hilliard et al, 2004). - After animals are removed from bacterial food, they initiate a local search behavior consisting of reversals and deep omega-shaped turns. This is followed by dispersal ~30 min later, as reversals and turns are suppressed. Local search behavior is triggered by AWC olfactory neurons, ASK gustatory neurons, and AIB interneurons while dispersal is promoted by ASI gustatory neurons and AIY interneurons (Gray et al., 2005). - One of the three core sensory neurons (AWA, AWC, ASK) that are required for sexual-attraction in males (White and Jorgensen, 2012). "
ASKR,Sensory neuron,Lateral ganglia of head,"Amphid neurons, single ciliated endings, project into ring via commissure from ventral ganglion, make diverse synaptic connections in ring neuropil. Also take up FITC.","Glutamate. Expresses VGluT, EAT-4 (Lee et al., 1999). Express neuropeptide-like proteins, NLP-8, NLP-10, NLP-14 (Nathoo et al., 2001).",,"- OSM-9; TRPV (transient receptor potential channel, vanilloid subfamily; mammalian capsaicin receptor-like channel)-cation selective channel (Colbert et al., 1997).- Express G protein-coupled serpentine receptors, SRA-7, SRA-9, SRG-2, SRG-8 (Troemel et al., 1995). Express transmembrane guanylyl cyclase DAF-11 (Birnby et al., 2000).","- Involved in chemotaxis to lysine (Bargmann and Horvitz, 1991). - ASH, ADL, ASK and ASE sensory neurons are responsible for the detection of certain chemical repellents. ASH plays a major role in this avoidance, whereas ADL, ASK and ASE play minor roles that are only evident when ASH is missing (Hiliard et al., 2002; Sambongi et al., 1999; Bargmann et al, 1990.) Mediate avoidance behavior from protons, detergents, alkaloids such as quinine -ASH is the main sensory neuron responsible for quinine detection while ASK plays a minor role (Hilliard et al, 2004). - After animals are removed from bacterial food, they initiate a local search behavior consisting of reversals and deep omega-shaped turns. This is followed by dispersal ~30 min later, as reversals and turns are suppressed. Local search behavior is triggered by AWC olfactory neurons, ASK gustatory neurons, and AIB interneurons while dispersal is promoted by ASI gustatory neurons and AIY interneurons (Gray et al., 2005). - One of the three core sensory neurons (AWA, AWC, ASK) that are required for sexual-attraction in males (White and Jorgensen, 2012). "
AUAL,Interneuron,Lateral ganglia of head,"Neuron, process runs with amphid processes but lacks ciliated ending","Glutamate. Expresses VGluT, EAT-4 (Lee et al., 1999).",,"Express glutamate receptor subunit, GLR-4 (Brockie et al., 2001). Express neuropeptide Y receptor like protein, NPR-1 which mediates social feeding behavior (Coates and de Bono , 2002). Express a splice variant of the tyramine receptor SER-2 (Tsalik et al., 2003). Possibly express the dopamine receptor DOP-1 (Sanyal et al., 2004).","Regulate social feeding behavior along with AQR, PQR and URX neurons (Coates and de Bono, 2002)."
AUAR,Interneuron,Lateral ganglia of head,"Neuron, process runs with amphid processes but lacks ciliated ending","Glutamate. Expresses VGluT, EAT-4 (Lee et al., 1999).",,"Express glutamate receptor subunit, GLR-4 (Brockie et al., 2001). Express neuropeptide Y receptor like protein, NPR-1 which mediates social feeding behavior (Coates and de Bono , 2002). Express a splice variant of the tyramine receptor SER-2 (Tsalik et al., 2003). Possibly express the dopamine receptor DOP-1 (Sanyal et al., 2004).","Regulate social feeding behavior along with AQR, PQR and URX neurons (Coates and de Bono, 2002)."
AVAL,Interneuron,Lateral ganglia of head,Ventral cord interneuron,"FMRFamide (FLP-1). Express FMRFamide-like peptide, FLP-1 precursor (Nelson et al., 1998). Express the FMRFamide-related neuropeptide (FaRP), FLP-18 (Rogers et al., 2003).",,"Express glutamate receptor subunits, GLR-1, GLR-2, GLR-4, GLR-5, NMR-1 and NMR-2 (Maricq et al., 1995; Brockie et al., 2001). Suggested to express GABA-A/glycine receptor-like protein GGR-3 (Fujiwara et al., 1996). Express UNC-8, a DEG/ENaC family member homologous to subunits of a candidate mechanically gated ion channel (Tavernarakis et al., 1997).","Command interneuron. Functions as driver cell for backward locomotion. Drives backward movement of the animal along with touch modulator AVD neuron, AVE and A-type motor neurons."
AVAR,Interneuron,Lateral ganglia of head,Ventral cord interneuron,"FMRFamide (FLP-1). Express FMRFamide-like peptide, FLP-1 precursor (Nelson et al., 1998). Express the FMRFamide-related neuropeptide (FaRP), FLP-18 (Rogers et al., 2003).",,"Express glutamate receptor subunits, GLR-1, GLR-2, GLR-4, GLR-5, NMR-1 and NMR-2 (Maricq et al., 1995; Brockie et al., 2001). Suggested to express GABA-A/glycine receptor-like protein GGR-3 (Fujiwara et al., 1996). Express UNC-8, a DEG/ENaC family member homologous to subunits of a candidate mechanically gated ion channel (Tavernarakis et al., 1997).","Command interneuron. Functions as driver cell for backward locomotion. Drives backward movement of the animal along with touch modulator AVD neuron, AVE and A-type motor neurons."
AVBL,Interneuron,Lateral ganglia of head,Ventral cord interneuron,,,"Express glutamate receptor subunits, GLR-1 and GLR-5 (Maricq et al., 1995; Brockie et al., 2001). Express G protein-coupled serpentine receptor, SRA-11 (Troemel et al., 1995). Suggested to express GABA-A/glycine receptor-like protein GGR-3 (Fujiwara et al., 1996). Express UNC-8, a DEG/ENaC family member homologous to subunits of a candidate mechanically gated ion channel (Tavernarakis et al., 1997).","Command interneuron. Functions as driver cell for forward locomotion. Drives forward movement of the animal along with the touch modulator, PVC, and B-type motor neurons."
AVBR,Interneuron,Lateral ganglia of head,Ventral cord interneuron,,,"Express glutamate receptor subunits, GLR-1 and GLR-5 (Maricq et al., 1995; Brockie et al., 2001). Express G protein-coupled serpentine receptor, SRA-11 (Troemel et al., 1995). Suggested to express GABA-A/glycine receptor-like protein GGR-3 (Fujiwara et al., 1996). Express UNC-8, a DEG/ENaC family member homologous to subunits of a candidate mechanically gated ion channel (Tavernarakis et al., 1997).","Command interneuron. Functions as driver cell for forward locomotion. Drives forward movement of the animal along with the touch modulator, PVC, and B-type motor neurons."
AVDL,Interneuron,Lateral ganglia of head,Ventral cord interneuron,,,"Express glutamate receptor subunits, GLR-1, GLR-2, GLR-5, NMR-1 and NMR-2 (Maricq et al., 1995; Brockie et al., 2001). Express UNC-8, a DEG/ENaC family member homologous to subunits of a candidate mechanically gated ion channel (Tavernarakis et al., 1997).","Command interneuron. Functions as touch modulator for backward locomotion induced by head-touch. Drives backward movement of the animal along with driver cell AVA neuron, AVE and A-type motor neurons"
AVDR,Interneuron,Lateral ganglia of head,Ventral cord interneuron,,,"Express glutamate receptor subunits, GLR-1, GLR-2, GLR-5, NMR-1 and NMR-2 (Maricq et al., 1995; Brockie et al., 2001). Express UNC-8, a DEG/ENaC family member homologous to subunits of a candidate mechanically gated ion channel (Tavernarakis et al., 1997).","Command interneuron. Functions as touch modulator for backward locomotion induced by head-touch. Drives backward movement of the animal along with driver cell AVA neuron, AVE and A-type motor neurons"
AVEL,Interneuron,Lateral ganglia of head,"Ventral cord interneuron, like AVD but outputs restricted to anterior cord","FLP-1 precursor (Nelson et al., 1998).",,"Express glutamate receptor subunits, GLR-1, GLR-2, GLR-5, NMR-1 and NMR-2 (Maricq et al., 1995; Brockie et al., 2001).","Command interneuron. Drive backward movement of the animal along with AVA, AVD and A-type motor neurons."
AVER,Interneuron,Lateral ganglia of head,"Ventral cord interneuron, like AVD but outputs restricted to anterior cord","FLP-1 precursor (Nelson et al., 1998).",,"Express glutamate receptor subunits, GLR-1, GLR-2, GLR-5, NMR-1 and NMR-2 (Maricq et al., 1995; Brockie et al., 2001).","Command interneuron. Drive backward movement of the animal along with AVA, AVD and A-type motor neurons."
AVFL,Interneuron,Retrovesicular ganglion of head,Interneuron,,,,
AVFR,Interneuron,Retrovesicular ganglion of head,Interneuron,,,,
AVG,Interneuron,Retrovesicular ganglion of head,Ventral cord interneuron,,,"Express glutamate receptor subunits, GLR-1, GLR-2, NMR-1 and NMR-2 (Maricq et al., 1995; Brockie et al., 2001). Expresses alpha subunit of a nicotinic acetylcholine receptor, DEG-3 (Treinin and Chalfie, 1995).","Anterior guidepost neuron. AVG pioneers the right tract of the ventral nerve cord. It expresses UNC-6 at 3-fold embryo stage to provide a continuous UNC-6 (netrin)-labeled pathway restricted to the right tract of the nerve cord. The unilateral UNC-6 cue from AVG guides various paired axons growing from the nerve ring and lumbar ganglia to make rightward decussations as they enter the ventral nerve cord. UNC-6 also promotes bundling of axons within the cord itself. If the parent of AVG is ablated in wild-type embryos, interneurons and ventral cord motor neurons form several small fascicles rather than one tight bundle of right side tract and occasionally the right side axons shift to the left side (Wadsworth et al., 1996; Wadsworth and Hedgecock, 1986; Durbin 1987; Antebi et al., 1997)."
AVHL,Interneuron,Lateral ganglia of head,"Neuron, mainly postsynaptic in ventral cord and presynaptic in the ring",,,"Express glutamate receptor subunit GLR-4 (Brockie et al., 2001). Express a splice variant of the tyramine receptor SER-2 (Tsalik et al., 2003). Suggested to express GABA-A/glycine receptor-like protein GGR-1 (Fujiwara et al., 1996). ",
AVHR,Interneuron,Lateral ganglia of head,"Neuron, mainly postsynaptic in ventral cord and presynaptic in the ring",,,"Express glutamate receptor subunit GLR-4 (Brockie et al., 2001). Express a splice variant of the tyramine receptor SER-2 (Tsalik et al., 2003). Suggested to express GABA-A/glycine receptor-like protein GGR-1 (Fujiwara et al., 1996). ",
AVJL,Interneuron,Lateral ganglia of head,"Neuron, synapses like AVHL/R","Possibly glutamate (the neuron may be AIN instead). possibly expresses VGluT, EAT-4 (Lee et al., 1999).",,"Express glutamate receptor subunit GLR-1 (Maricq et al., 1995).",
AVJR,Interneuron,Lateral ganglia of head,"Neuron, synapses like AVHL/R","Possibly glutamate (the neuron may be AIN instead). possibly expresses VGluT, EAT-4 (Lee et al., 1999).",,"Express glutamate receptor subunit GLR-1 (Maricq et al., 1995).",
AVKL,Interneuron,Ventral ganglion of head,Ring and ventral cord interneuron,"Express FMRFamide-like peptide, FLP-1 precursor (Nelson et al., 1998).",,"Express glutamate receptor subunit GLR-5 (Brockie et al., 2001).",
AVKR,Interneuron,Ventral ganglion of head,Ring and ventral cord interneuron,"Express FMRFamide-like peptide, FLP-1 precursor (Nelson et al., 1998).",,"Express glutamate receptor subunit GLR-5 (Brockie et al., 2001).",
AVL,Interneuron/motor neuron,Ventral ganglion in head,Ring and ventral cord interneuron and an excitatory GABAergic motor neuron for rectal muscles. Few synapses,"GABA (Eastman et al., 1999)",,,"Defecation. AVL and DVB are excitatory GABAergic motor neurons for the enteric muscles (Avery and Thomas, 1997; McIntire et al., 1993). Together with DVB, activates expulsion muscle contraction (E.p or EMC), also required for anterior body contraction (aBoc) step in defecation motor program (DMP)."
